2013-11-27 16:05:53 status half-installed base-files:armhf 6.12ubuntu4
2013-11-27 16:05:53 status unpacked base-files:armhf 6.12ubuntu4
2013-11-27 16:05:53 status unpacked base-files:armhf 6.12ubuntu4
2013-11-27 16:05:53 upgrade base-passwd:armhf 3.5.26 3.5.26
2013-11-27 16:05:53 status half-configured base-passwd:armhf 3.5.26
2013-11-27 16:05:53 status unpacked base-passwd:armhf 3.5.26
2013-11-27 16:05:53 status half-installed base-passwd:armhf 3.5.26
2013-11-27 16:05:53 status half-installed base-passwd:armhf 3.5.26
2013-11-27 16:05:54 status unpacked base-passwd:armhf 3.5.26
2013-11-27 16:05:54 status unpacked base-passwd:armhf 3.5.26
2013-11-27 16:05:54 install bash:armhf <none> 4.2-5ubuntu3
2013-11-27 16:05:54 status half-installed bash:armhf 4.2-5ubuntu3
2013-11-27 16:05:54 status unpacked bash:armhf 4.2-5ubuntu3
2013-11-27 16:05:54 status unpacked bash:armhf 4.2-5ubuntu3
2013-11-27 16:05:54 install bsdutils:armhf <none> 1:2.20.1-5.1ubuntu9
2013-11-27 16:05:54 status half-installed bsdutils:armhf 1:2.20.1-5.1ubuntu9
2013-11-27 16:05:55 status unpacked bsdutils:armhf 1:2.20.1-5.1ubuntu9
2013-11-27 16:05:55 status unpacked bsdutils:armhf 1:2.20.1-5.1ubuntu9
2013-11-27 16:05:55 install busybox-initramfs:armhf <none> 1:1.20.0-8.1ubuntu1
2013-11-27 16:05:55 status half-installed busybox-initramfs:armhf 1:1.20.0-8.1ubuntu1
2013-11-27 16:05:55 status unpacked busybox-initramfs:armhf 1:1.20.0-8.1ubuntu1
2013-11-27 16:05:55 status unpacked busybox-initramfs:armhf 1:1.20.0-8.1ubuntu1
2013-11-27 16:05:55 install coreutils:armhf <none> 8.20-3ubuntu5
2013-11-27 16:05:55 status half-installed coreutils:armhf 8.20-3ubuntu5
2013-11-27 16:05:56 status unpacked coreutils:armhf 8.20-3ubuntu5
2013-11-27 16:05:56 status unpacked coreutils:armhf 8.20-3ubuntu5
2013-11-27 16:05:56 install cpio:armhf <none> 2.11+dfsg-1ubuntu1
2013-11-27 16:05:56 status half-installed cpio:armhf 2.11+dfsg-1ubuntu1
2013-11-27 16:05:56 status unpacked cpio:armhf 2.11+dfsg-1ubuntu1
2013-11-27 16:05:56 status unpacked cpio:armhf 2.11+dfsg-1ubuntu1
2013-11-27 16:05:56 install dash:armhf <none> 0.5.7-3ubuntu1
2013-11-27 16:05:56 status half-installed dash:armhf 0.5.7-3ubuntu1
2013-11-27 16:05:57 status unpacked dash:armhf 0.5.7-3ubuntu1
2013-11-27 16:05:57 status unpacked dash:armhf 0.5.7-3ubuntu1
2013-11-27 16:05:57 upgrade debconf:all 1.5.50ubuntu1 1.5.50ubuntu1
2013-11-27 16:05:57 status half-configured debconf:all 1.5.50ubuntu1
2013-11-27 16:05:57 status unpacked debconf:all 1.5.50ubuntu1
2013-11-27 16:05:57 status half-installed debconf:all 1.5.50ubuntu1
2013-11-27 16:05:57 status half-installed debconf:all 1.5.50ubuntu1
2013-11-27 16:05:57 status unpacked debconf:all 1.5.50ubuntu1
2013-11-27 16:05:58 status unpacked debconf:all 1.5.50ubuntu1
2013-11-27 16:05:58 install debianutils:armhf <none> 4.4
2013-11-27 16:05:58 status half-installed debianutils:armhf 4.4
2013-11-27 16:05:58 status unpacked debianutils:armhf 4.4
2013-11-27 16:05:58 status unpacked debianutils:armhf 4.4
2013-11-27 16:05:58 install diffutils:armhf <none> 1:3.2-8
2013-11-27 16:05:58 status half-installed diffutils:armhf 1:3.2-8
2013-11-27 16:05:58 status unpacked diffutils:armhf 1:3.2-8
2013-11-27 16:05:58 status unpacked diffutils:armhf 1:3.2-8
2013-11-27 16:05:59 upgrade dpkg:armhf 1.16.12ubuntu1 1.16.12ubuntu1
2013-11-27 16:05:59 status half-configured dpkg:armhf 1.16.12ubuntu1
2013-11-27 16:05:59 status unpacked dpkg:armhf 1.16.12ubuntu1
2013-11-27 16:05:59 status half-installed dpkg:armhf 1.16.12ubuntu1
2013-11-27 16:05:59 status half-installed dpkg:armhf 1.16.12ubuntu1
2013-11-27 16:05:59 status unpacked dpkg:armhf 1.16.12ubuntu1
2013-11-27 16:05:59 status unpacked dpkg:armhf 1.16.12ubuntu1
2013-11-27 16:06:00 install e2fslibs:armhf <none> 1.42.8-1ubuntu1
2013-11-27 16:06:00 status half-installed e2fslibs:armhf 1.42.8-1ubuntu1
2013-11-27 16:06:00 status unpacked e2fslibs:armhf 1.42.8-1ubuntu1
2013-11-27 16:06:00 status unpacked e2fslibs:armhf 1.42.8-1ubuntu1
2013-11-27 16:06:00 install e2fsprogs:armhf <none> 1.42.8-1ubuntu1
2013-11-27 16:06:00 status half-installed e2fsprogs:armhf 1.42.8-1ubuntu1
2013-11-27 16:06:00 status unpacked e2fsprogs:armhf 1.42.8-1ubuntu1
2013-11-27 16:06:00 status unpacked e2fsprogs:armhf 1.42.8-1ubuntu1
2013-11-27 16:06:00 install findutils:armhf <none> 4.4.2-6ubuntu1
2013-11-27 16:06:00 status half-installed findutils:armhf 4.4.2-6ubuntu1
2013-11-27 16:06:01 status unpacked findutils:armhf 4.4.2-6ubuntu1
2013-11-27 16:06:01 status unpacked findutils:armhf 4.4.2-6ubuntu1
2013-11-27 16:06:01 install gcc-4.8-base:armhf <none> 4.8.1-10ubuntu8
2013-11-27 16:06:01 status half-installed gcc-4.8-base:armhf 4.8.1-10ubuntu8
2013-11-27 16:06:01 status unpacked gcc-4.8-base:armhf 4.8.1-10ubuntu8
2013-11-27 16:06:01 status unpacked gcc-4.8-base:armhf 4.8.1-10ubuntu8
2013-11-27 16:06:01 install grep:armhf <none> 2.14-3
2013-11-27 16:06:01 status half-installed grep:armhf 2.14-3
2013-11-27 16:06:01 status unpacked grep:armhf 2.14-3
2013-11-27 16:06:01 status unpacked grep:armhf 2.14-3
2013-11-27 16:06:02 install gzip:armhf <none> 1.6-2ubuntu1
2013-11-27 16:06:02 status half-installed gzip:armhf 1.6-2ubuntu1
2013-11-27 16:06:02 status unpacked gzip:armhf 1.6-2ubuntu1
2013-11-27 16:06:02 status unpacked gzip:armhf 1.6-2ubuntu1
2013-11-27 16:06:02 install hostname:armhf <none> 3.13ubuntu1
2013-11-27 16:06:02 status half-installed hostname:armhf 3.13ubuntu1
2013-11-27 16:06:02 status unpacked hostname:armhf 3.13ubuntu1
2013-11-27 16:06:02 status unpacked hostname:armhf 3.13ubuntu1
2013-11-27 16:06:02 install ifupdown:armhf <none> 0.7.44ubuntu3
2013-11-27 16:06:02 status half-installed ifupdown:armhf 0.7.44ubuntu3
2013-11-27 16:06:03 status unpacked ifupdown:armhf 0.7.44ubuntu3
2013-11-27 16:06:03 status unpacked ifupdown:armhf 0.7.44ubuntu3
2013-11-27 16:06:03 install initramfs-tools:all <none> 0.103ubuntu1
2013-11-27 16:06:03 status half-installed initramfs-tools:all 0.103ubuntu1
2013-11-27 16:06:03 status unpacked initramfs-tools:all 0.103ubuntu1
2013-11-27 16:06:03 status unpacked initramfs-tools:all 0.103ubuntu1
2013-11-27 16:06:04 install initramfs-tools-bin:armhf <none> 0.103ubuntu1
2013-11-27 16:06:04 status half-installed initramfs-tools-bin:armhf 0.103ubuntu1
2013-11-27 16:06:04 status unpacked initramfs-tools-bin:armhf 0.103ubuntu1
2013-11-27 16:06:04 status unpacked initramfs-tools-bin:armhf 0.103ubuntu1
2013-11-27 16:06:04 install initscripts:armhf <none> 2.88dsf-41ubuntu3
2013-11-27 16:06:04 status half-installed initscripts:armhf 2.88dsf-41ubuntu3
2013-11-27 16:06:04 status unpacked initscripts:armhf 2.88dsf-41ubuntu3
2013-11-27 16:06:04 status unpacked initscripts:armhf 2.88dsf-41ubuntu3
2013-11-27 16:06:04 install insserv:armhf <none> 1.14.0-5ubuntu2
2013-11-27 16:06:04 status half-installed insserv:armhf 1.14.0-5ubuntu2
2013-11-27 16:06:04 status unpacked insserv:armhf 1.14.0-5ubuntu2
2013-11-27 16:06:05 status unpacked insserv:armhf 1.14.0-5ubuntu2
2013-11-27 16:06:05 install iproute2:armhf <none> 3.10.0-1ubuntu1
2013-11-27 16:06:05 status half-installed iproute2:armhf 3.10.0-1ubuntu1
2013-11-27 16:06:05 status unpacked iproute2:armhf 3.10.0-1ubuntu1
2013-11-27 16:06:05 status unpacked iproute2:armhf 3.10.0-1ubuntu1
2013-11-27 16:06:05 install klibc-utils:armhf <none> 2.0.1-3.1ubuntu2
2013-11-27 16:06:05 status half-installed klibc-utils:armhf 2.0.1-3.1ubuntu2
2013-11-27 16:06:05 status unpacked klibc-utils:armhf 2.0.1-3.1ubuntu2
2013-11-27 16:06:05 status unpacked klibc-utils:armhf 2.0.1-3.1ubuntu2
2013-11-27 16:06:06 install kmod:armhf <none> 9-3ubuntu1
2013-11-27 16:06:06 status half-installed kmod:armhf 9-3ubuntu1
2013-11-27 16:06:06 status unpacked kmod:armhf 9-3ubuntu1
2013-11-27 16:06:06 status unpacked kmod:armhf 9-3ubuntu1
2013-11-27 16:06:06 install libacl1:armhf <none> 2.2.52-1
2013-11-27 16:06:06 status half-installed libacl1:armhf 2.2.52-1
2013-11-27 16:06:06 status unpacked libacl1:armhf 2.2.52-1
2013-11-27 16:06:06 status unpacked libacl1:armhf 2.2.52-1
2013-11-27 16:06:06 install libattr1:armhf <none> 1:2.4.47-1
2013-11-27 16:06:06 status half-installed libattr1:armhf 1:2.4.47-1
2013-11-27 16:06:07 status unpacked libattr1:armhf 1:2.4.47-1
2013-11-27 16:06:07 status unpacked libattr1:armhf 1:2.4.47-1
2013-11-27 16:06:07 install libaudit-common:all <none> 1:2.2.2-1ubuntu4
2013-11-27 16:06:07 status half-installed libaudit-common:all 1:2.2.2-1ubuntu4
2013-11-27 16:06:07 status unpacked libaudit-common:all 1:2.2.2-1ubuntu4
2013-11-27 16:06:07 status unpacked libaudit-common:all 1:2.2.2-1ubuntu4
2013-11-27 16:06:07 install libaudit1:armhf <none> 1:2.2.2-1ubuntu4
2013-11-27 16:06:07 status half-installed libaudit1:armhf 1:2.2.2-1ubuntu4
2013-11-27 16:06:07 status unpacked libaudit1:armhf 1:2.2.2-1ubuntu4
2013-11-27 16:06:07 status unpacked libaudit1:armhf 1:2.2.2-1ubuntu4
2013-11-27 16:06:08 install libblkid1:armhf <none> 2.20.1-5.1ubuntu9
2013-11-27 16:06:08 status half-installed libblkid1:armhf 2.20.1-5.1ubuntu9
2013-11-27 16:06:08 status unpacked libblkid1:armhf 2.20.1-5.1ubuntu9
2013-11-27 16:06:08 status unpacked libblkid1:armhf 2.20.1-5.1ubuntu9
2013-11-27 16:06:08 install libbz2-1.0:armhf <none> 1.0.6-4
2013-11-27 16:06:08 status half-installed libbz2-1.0:armhf 1.0.6-4
2013-11-27 16:06:08 status unpacked libbz2-1.0:armhf 1.0.6-4
2013-11-27 16:06:08 status unpacked libbz2-1.0:armhf 1.0.6-4
2013-11-27 16:06:09 install libc-bin:armhf <none> 2.17-93ubuntu4
2013-11-27 16:06:09 status half-installed libc-bin:armhf 2.17-93ubuntu4
2013-11-27 16:06:09 status unpacked libc-bin:armhf 2.17-93ubuntu4
2013-11-27 16:06:09 status unpacked libc-bin:armhf 2.17-93ubuntu4
2013-11-27 16:06:09 upgrade libc6:armhf 2.17-93ubuntu4 2.17-93ubuntu4
2013-11-27 16:06:09 status half-configured libc6:armhf 2.17-93ubuntu4
2013-11-27 16:06:09 status unpacked libc6:armhf 2.17-93ubuntu4
2013-11-27 16:06:09 status half-installed libc6:armhf 2.17-93ubuntu4
2013-11-27 16:06:10 status half-installed libc6:armhf 2.17-93ubuntu4
2013-11-27 16:06:11 status unpacked libc6:armhf 2.17-93ubuntu4
2013-11-27 16:06:11 status unpacked libc6:armhf 2.17-93ubuntu4
2013-11-27 16:06:11 install libcap2:armhf <none> 1:2.22-1.2ubuntu2
2013-11-27 16:06:11 status half-installed libcap2:armhf 1:2.22-1.2ubuntu2
2013-11-27 16:06:11 status unpacked libcap2:armhf 1:2.22-1.2ubuntu2
2013-11-27 16:06:11 status unpacked libcap2:armhf 1:2.22-1.2ubuntu2
2013-11-27 16:06:11 install libcomerr2:armhf <none> 1.42.8-1ubuntu1
2013-11-27 16:06:11 status half-installed libcomerr2:armhf 1.42.8-1ubuntu1
2013-11-27 16:06:11 status unpacked libcomerr2:armhf 1.42.8-1ubuntu1
2013-11-27 16:06:11 status unpacked libcomerr2:armhf 1.42.8-1ubuntu1
2013-11-27 16:06:12 install libdb5.1:armhf <none> 5.1.29-7
2013-11-27 16:06:12 status half-installed libdb5.1:armhf 5.1.29-7
2013-11-27 16:06:12 status unpacked libdb5.1:armhf 5.1.29-7
2013-11-27 16:06:12 status unpacked libdb5.1:armhf 5.1.29-7
2013-11-27 16:06:12 install libdbus-1-3:armhf <none> 1.6.12-0ubuntu10
2013-11-27 16:06:12 status half-installed libdbus-1-3:armhf 1.6.12-0ubuntu10
2013-11-27 16:06:13 status unpacked libdbus-1-3:armhf 1.6.12-0ubuntu10
2013-11-27 16:06:13 status unpacked libdbus-1-3:armhf 1.6.12-0ubuntu10
2013-11-27 16:06:13 install libdrm2:armhf <none> 2.4.46-1
2013-11-27 16:06:13 status half-installed libdrm2:armhf 2.4.46-1
2013-11-27 16:06:13 status unpacked libdrm2:armhf 2.4.46-1
2013-11-27 16:06:13 status unpacked libdrm2:armhf 2.4.46-1
2013-11-27 16:06:13 install libgcc1:armhf <none> 1:4.8.1-10ubuntu8
2013-11-27 16:06:13 status half-installed libgcc1:armhf 1:4.8.1-10ubuntu8
2013-11-27 16:06:13 status unpacked libgcc1:armhf 1:4.8.1-10ubuntu8
2013-11-27 16:06:14 status unpacked libgcc1:armhf 1:4.8.1-10ubuntu8
2013-11-27 16:06:14 install libjson-c2:armhf <none> 0.11-2ubuntu1
2013-11-27 16:06:14 status half-installed libjson-c2:armhf 0.11-2ubuntu1
2013-11-27 16:06:14 status unpacked libjson-c2:armhf 0.11-2ubuntu1
2013-11-27 16:06:14 status unpacked libjson-c2:armhf 0.11-2ubuntu1
2013-11-27 16:06:14 install libjson0:armhf <none> 0.11-2ubuntu1
2013-11-27 16:06:14 status half-installed libjson0:armhf 0.11-2ubuntu1
2013-11-27 16:06:14 status unpacked libjson0:armhf 0.11-2ubuntu1
2013-11-27 16:06:14 status unpacked libjson0:armhf 0.11-2ubuntu1
2013-11-27 16:06:14 install libklibc:armhf <none> 2.0.1-3.1ubuntu2
2013-11-27 16:06:14 status half-installed libklibc:armhf 2.0.1-3.1ubuntu2
2013-11-27 16:06:15 status unpacked libklibc:armhf 2.0.1-3.1ubuntu2
2013-11-27 16:06:15 status unpacked libklibc:armhf 2.0.1-3.1ubuntu2
2013-11-27 16:06:15 install libkmod2:armhf <none> 9-3ubuntu1
2013-11-27 16:06:15 status half-installed libkmod2:armhf 9-3ubuntu1
2013-11-27 16:06:15 status unpacked libkmod2:armhf 9-3ubuntu1
2013-11-27 16:06:15 status unpacked libkmod2:armhf 9-3ubuntu1
2013-11-27 16:06:15 install liblzma5:armhf <none> 5.1.1alpha+20120614-2ubuntu1
2013-11-27 16:06:15 status half-installed liblzma5:armhf 5.1.1alpha+20120614-2ubuntu1
2013-11-27 16:06:16 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2ubuntu1
2013-11-27 16:06:16 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2ubuntu1
2013-11-27 16:06:16 install libmount1:armhf <none> 2.20.1-5.1ubuntu9
2013-11-27 16:06:16 status half-installed libmount1:armhf 2.20.1-5.1ubuntu9
2013-11-27 16:06:16 status unpacked libmount1:armhf 2.20.1-5.1ubuntu9
2013-11-27 16:06:16 status unpacked libmount1:armhf 2.20.1-5.1ubuntu9
2013-11-27 16:06:16 install libncurses5:armhf <none> 5.9+20130608-1ubuntu1
2013-11-27 16:06:16 status half-installed libncurses5:armhf 5.9+20130608-1ubuntu1
